Device/Package xc7a100tfgg676 6/6/2012 10:07:15                                                                                                   
                                                                                                         
Pin   Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
K20   IO_L9P_T1_DQS_AD3P_15         1                  15    NA            NA                  HR        NA
J20   IO_L9N_T1_DQS_AD3N_15         1                  15    NA            NA                  HR        NA
J18   IO_L10P_T1_AD11P_15           1                  15    NA            NA                  HR        NA
H18   IO_L10N_T1_AD11N_15           1                  15    NA            NA                  HR        NA
G20   IO_L11P_T1_SRCC_15            1                  15    NA            NA                  HR        NA
G21   IO_L11N_T1_SRCC_15            1                  15    NA            NA                  HR        NA
K21   IO_L12P_T1_MRCC_15            1                  15    NA            NA                  HR        NA
J21   IO_L12N_T1_MRCC_15            1                  15    NA            NA                  HR        NA
H21   IO_L13P_T2_MRCC_15            2                  15    NA            NA                  HR        NA
H22   IO_L13N_T2_MRCC_15            2                  15    NA            NA                  HR        NA
J23   IO_L14P_T2_SRCC_15            2                  15    NA            NA                  HR        NA
H23   IO_L14N_T2_SRCC_15            2                  15    NA            NA                  HR        NA
G22   IO_L15P_T2_DQS_15             2                  15    NA            NA                  HR        NA
F22   IO_L15N_T2_DQS_ADV_B_15       2                  15    NA            NA                  HR        NA
J24   IO_L16P_T2_A28_15             2                  15    NA            NA                  HR        NA
H24   IO_L16N_T2_A27_15             2                  15    NA            NA                  HR        NA
F23   IO_L17P_T2_A26_15             2                  15    NA            NA                  HR        NA
E23   IO_L17N_T2_A25_15             2                  15    NA            NA                  HR        NA
K22   IO_L18P_T2_A24_15             2                  15    NA            NA                  HR        NA
K23   IO_L18N_T2_A23_15             2                  15    NA            NA                  HR        NA
G24   IO_L19P_T3_A22_15             3                  15    NA            NA                  HR        NA
F24   IO_L19N_T3_A21_VREF_15        3                  15    NA            NA                  HR        NA
E25   IO_L20P_T3_A20_15             3                  15    NA            NA                  HR        NA
D25   IO_L20N_T3_A19_15             3                  15    NA            NA                  HR        NA
E26   IO_L21P_T3_DQS_15             3                  15    NA            NA                  HR        NA
D26   IO_L21N_T3_DQS_A18_15         3                  15    NA            NA                  HR        NA
H26   IO_L22P_T3_A17_15             3                  15    NA            NA                  HR        NA
G26   IO_L22N_T3_A16_15             3                  15    NA            NA                  HR        NA
G25   IO_L23P_T3_FOE_B_15           3                  15    NA            NA                  HR        NA
F25   IO_L23N_T3_FWE_B_15           3                  15    NA            NA                  HR        NA
J25   IO_L24P_T3_RS1_15             3                  15    NA            NA                  HR        NA
J26   IO_L24N_T3_RS0_15             3                  15    NA            NA                  HR        NA
L19   IO_25_15                      NA                 15    NA            NA                  HR        NA
H17   IO_0_16                       NA                 16    NA            NA                  HR        NA
H14   IO_L1P_T0_16                  0                  16    NA            NA                  HR        NA
H15   IO_L1N_T0_16                  0                  16    NA            NA                  HR        NA
G17   IO_L2P_T0_16                  0                  16    NA            NA                  HR        NA
F17   IO_L2N_T0_16                  0                  16    NA            NA                  HR        NA
F18   IO_L3P_T0_DQS_16              0                  16    NA            NA                  HR        NA
F19   IO_L3N_T0_DQS_16              0                  16    NA            NA                  HR        NA
G15   IO_L4P_T0_16                  0                  16    NA            NA                  HR        NA
F15   IO_L4N_T0_16                  0                  16    NA            NA                  HR        NA
G19   IO_L5P_T0_16                  0                  16    NA            NA                  HR        NA
F20   IO_L5N_T0_16                  0                  16    NA            NA                  HR        NA
H16   IO_L6P_T0_16                  0                  16    NA            NA                  HR        NA
G16   IO_L6N_T0_VREF_16             0                  16    NA            NA                  HR        NA
C17   IO_L7P_T1_16                  1                  16    NA            NA                  HR        NA
B17   IO_L7N_T1_16                  1                  16    NA            NA                  HR        NA
E16   IO_L8P_T1_16                  1                  16    NA            NA                  HR        NA
D16   IO_L8N_T1_16                  1                  16    NA            NA                  HR        NA
A17   IO_L9P_T1_DQS_16              1                  16    NA            NA                  HR        NA
A18   IO_L9N_T1_DQS_16              1                  16    NA            NA                  HR        NA
B19   IO_L10P_T1_16                 1                  16    NA            NA                  HR        NA
A19   IO_L10N_T1_16                 1                  16    NA            NA                  HR        NA
E17   IO_L11P_T1_SRCC_16            1                  16    NA            NA                  HR        NA
E18   IO_L11N_T1_SRCC_16            1                  16    NA            NA                  HR        NA
D18   IO_L12P_T1_MRCC_16            1                  16    NA            NA                  HR        NA
C18   IO_L12N_T1_MRCC_16            1                  16    NA            NA                  HR        NA
D19   IO_L13P_T2_MRCC_16            2                  16    NA            NA                  HR        NA
C19   IO_L13N_T2_MRCC_16            2                  16    NA            NA                  HR        NA
E20   IO_L14P_T2_SRCC_16            2                  16    NA            NA                  HR        NA
D20   IO_L14N_T2_SRCC_16            2                  16    NA            NA                  HR        NA
B20   IO_L15P_T2_DQS_16             2                  16    NA            NA                  HR        NA
A20   IO_L15N_T2_DQS_16             2                  16    NA            NA                  HR        NA
C21   IO_L16P_T2_16                 2                  16    NA            NA                  HR        NA
B21   IO_L16N_T2_16                 2                  16    NA            NA                  HR        NA
